Termo ou Expressão,Uso,Contexto,Grau de Ofensividade,Fonte
🏀🏀,🏀🏀,Faz referência aos seios da mulher ou aos testículos do homem,NA,Wikihow
🐍,🐍,Insinua que o alvo seria falso,Insulto,Wikihow
🐓,🐓,Faz referências sobre o comportamento sexual do alvo,Insulto,Wikihow
🐱,🐱,Faz referência à aparência do alvo,Insulto,Wikihow
👉👌,👉👌,Faz referência a uma posição sexual,Insulto,Wikihow
👌,👌,Faz referência a uma posição sexual,Insulto,Wikihow
💦,💦,Faz referência a uma posição sexual,Insulto,Wikihow
🔥,🔥,É usado para sexualizar o alvo,Insulto,Wikihow
🥕,🥕,Faz referência ao órgão genital masculino,NA,Wikihow
🥖,🥖,Insinua uma ação violenta contra o alvo,Ameaça,Wikihow
😈,😈,É usado para sexualizar o alvo,Insulto,Wikihow
14/88,14/88,É usado em um contexto de apologia ao nazismo,Discurso de Ódio,Imprensa
tem que eliminar (.*)/ tinha que eliminar (.*),A gente tinha que eliminar esses loucos,É usado em um contexto de apologia ao nazismo,Discurso de Ódio,Mapa da Violência Política de Gênero
vergonha,a senhora é uma vergonha para o Senado,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
descontrolada,A senhora está totalmente descontrolada,Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
ser estuprada,a senhora não merece ser estuprada,Insinua uma ação violenta contra o alvo,Insulto,Imprensa
aberração,aberração,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
aberração,aberração da natureza,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
aberração do (.*),aberração do alfabeto,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
aborto de (.*),aborto de bolsonarista,É usado para estigmatizar e desumanizar o alvo,Invalidação,Imprensa
(.*) cairá no ostracismo,acabou a Mamata foi para a Esquerda e vc não será mais Eleita e Reeleita para nada cairá no Ostracismo ! Chora Petralha #Bolsonaro2022a2026 https://t.co/L2eJiaEmmI,Insinua que o alvo é desimportante,Invalidação,Mapa da Violência Política de Gênero
(.*) não será mais eleita/ (.*) não será reeleita,acabou a Mamata foi para a Esquerda e vc não será mais Eleita e Reeleita para nada cairá no Ostracismo ! Chora Petralha #Bolsonaro2022a2026 https://t.co/L2eJiaEmmI,Insinua que o alvo é desimportante,Invalidação,Mapa da Violência Política de Gênero
acha que vai (.*),acha que vai continuar exercendo este cargo de deputada federal até 2023?,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
Aguarde (.*),Aguarde a visitinha da minha Glock G25 calibre 380,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
aleijada,aleijada,É usado para estigmatizar e desumanizar o alvo,Invalidação,Imprensa
interna (.*),alguém interna ela por favor,Questiona a sanidade do alvo,Invalidação,Imprensa
(.*) na casa dela / (.*) na casa da (.*),"Algum deputado poderia fazer um projeto de lei que legalize o roubo, mas só na casa dela?",É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Mapa da Violência Política de Gênero
amante,amante,É usado para sexualizar o alvo,Insulto,Imprensa
amante,amante,É usado para sexualizar o alvo,Insulto,Imprensa
analfabeta,analfabeta,É usado para desqualificar o alvo,Invalidação,Imprensa
aproveitadora,aproveitadora,Questiona a moral do alvo,Insulto,Imprensa
(.*) não aconteceu/ (.*) nunca aconteceu,aquilo nunca aconteceu,É usado para desqualificar o alvo,Invalidação,Imprensa
arregona,arregona,Questiona a coragem do alvo,Insulto,Imprensa
asquerosa,asquerosa,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
bandida,bandida,Questiona a moral do alvo,Insulto,Imprensa
baranga,baranga,Faz referência à aparência do alvo,Insulto,Imprensa
belzebu,belzebu,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
belzebu,"belzebu, boizebu",É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
fedor de (.*),Bem que senti o fedor de preto,É usado como ofensa racista,Discurso de Ódio,Imprensa
bipolar,bipolar,Questiona a sanidade do alvo,Invalidação,Imprensa
borderline,borderline,Questiona a sanidade do alvo,Invalidação,Imprensa
brincando de (.*),brincando de esconde esconde,Insinua que o alvo é desimportante,Invalidação,Imprensa
bruxa,bruxa,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
bruxa,bruxa de blair,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
burra,burra,É usado para desqualificar o alvo,Invalidação,Imprensa
burra,Burra,É usado para desqualificar o alvo,Invalidação,Imprensa
burra,burra,É usado para desqualificar o alvo,Invalidação,Imprensa
cabelo (.*),cabelo pra tirar ferrugem de ferro,É usado como ofensa racista,Insulto,Imprensa
cadela,cadela,É usado para sexualizar o alvo,Insulto,Imprensa
cafetina,cafetina,É usado para sexualizar o alvo,Insulto,Imprensa
caloteira,caloteira,Questiona a moral do alvo,Crítica,Imprensa
canalhas,canalhas,É usado para desqualificar/estigmatizar/desumanizar o alvo,Insulto,Mapa da Violência Política de Gênero
canja,canja,É usado para sexualizar o alvo,Insulto,Imprensa
capacho,capacho de prefeito,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Imprensa
capitã (.*),capitã cloroquina,É usado para desqualificar o alvo,Crítica,Imprensa
capitã (.*),capitã cloroquina,É usado para desqualificar o alvo,Crítica,Imprensa
capitã (.*),CAPITÃ CLOROQUINA,É usado para desqualificar o alvo,Crítica,Mapa da Violência Política de Gênero
cara de pau,cara de pau,Insinua que o alvo fala bobeiras,Insulto,Imprensa
lúcifer,carmen lúcifer,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
chora,chora,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Imprensa
chora,chora esquerdalha,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Imprensa
chupa,chupa retardada,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Imprensa
retardada,chupa retardada,É usado para desqualificar o alvo,Invalidação,Imprensa
retardada,chupa retardada,É usado para desqualificar o alvo,Invalidação,Imprensa
nojenta,coisa nojenta,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
como que (.*) se elegeu/ como que (.*) pode ter sido eleita,Como que pode uma pessoa dessa ainda ter sido eleita vereadora,É usado para desqualificar o alvo,Invalidação,Imprensa
comunista,comunista,Questiona a moral do alvo,Crítica,Imprensa
safada,comunista safada,É usado para sexualizar o alvo,Insulto,Imprensa
conservadia,conservadia,É usado para sexualizar o alvo,Insulto,Imprensa
vergonha,crie vergonha,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
perder sua vida,da próxima vez vc vai perder a sua vida,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
você vai (.*),da próxima vez vc vai perder a sua vida,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
Delira,"Delira, sua erva tá estragada, filhinha? ",Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
filhinha,"Delira, sua erva tá estragada, filhinha? ","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
sua erva,"Delira, sua erva tá estragada, filhinha? ",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
demonia,demonia,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
quebrar seu (.*),depois de quebrar seu crânio com um martelo ordinário e matar qualquer um que estiver junto com você,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
descontrolada,descontrolada,Questiona a sanidade do alvo,Invalidação,Imprensa
descontrolada,descontroladas,Questiona a sanidade do alvo,Invalidação,Imprensa
descontroladas,descontroladas,Questiona a sanidade do alvo,Invalidação,Imprensa
buceta | boceta,desejo a morte da buceta pequena da sua filha aquela gostosona,É usado para sexualizar o alvo,Insulto,Imprensa
desejo que você (.*) | quero que você (.*),desejo a morte da buceta pequena da sua filha aquela gostosona,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
gostosa | gostosinha | gostosona,desejo a morte da buceta pequena da sua filha aquela gostosona,Faz referência à aparência do alvo,Insulto,Imprensa
deus vult,deus vult,"""Além do elemento étnico e nativista, há o componente religioso, a reafirmação da masculinidade e o mito do herói. “Deus Vult” - Deus quer faz referência ao grito do povo em resposta ao papa Urbano II quando foi anunciado o início da Primeira Cruzada pelo pontífice (1095) e agrega, para os extremistas, noções de defesa do Cristianismo contra ameaças externas (o islamismo, por exemplo), o culto à força, virilidade e propensão à guerra do ser masculino."" (Prado, 2023)",Discurso de Ódio,"Prado, M. (2023). Tempestade ideológica"
deveria estar em (.*),Deveria estar num hospício ou num circo,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Invalidação,Mapa da Violência Política de Gênero
doente,doente,É usado para desqualificar o alvo,Invalidação,Imprensa
doida,doida,Questiona a sanidade do alvo,Invalidação,Imprensa
doida,doida,Questiona a sanidade do alvo,Invalidação,Imprensa
puteiro/putero,dona de putero,É usado para sexualizar o alvo,Insulto,Imprensa
olhos abertos,durma de olhos abertos,"É usado para ameaçar o alvo, indicando que há mais por vir",Ameaça,Imprensa
feia,ela é muito feia e deve ter sido largada por um homem,Faz referência à aparência do alvo,Insulto,Imprensa
largada por um homem,ela é muito feia e deve ter sido largada por um homem,É usado para desqualificar o alvo,Insulto,Imprensa
emotiva,emotiva,Questiona a sanidade do alvo,Invalidação,Imprensa
escória da (.*)/ escória,escória das fezes humanas,Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
escrota,escrota,Xingamento direto contra o alvo,Insulto,Imprensa
esposa de (.*),esposa de bandido,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Imprensa
esposa de (.*),esposa de ladrão,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Imprensa
imbecil,"Esquece o Bolsonaro sua imbecil, só sabe falar isso? O povo só quer mais transparência na eleição... https://t.co/cqc0CzpJqg",É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
só sabe falar de (.*),"Esquece o Bolsonaro sua imbecil, só sabe falar isso? O povo só quer mais transparência na eleição... https://t.co/cqc0CzpJqg",Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
esquerdista,esquerdista de iphone,É usado para desqualificar o alvo,Crítica,Mapa da Violência Política de Gênero
esquerdopata,esquerdopata,Questiona a sanidade do alvo,Insulto,Imprensa
esquerdopata,esquerdopata,Questiona a sanidade do alvo,Insulto,Imprensa
fala abobrinha,Essa joice ainda está perturbando essa é fim de carreira só fala abrobrinha vamos ver ela em 2022,Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
fim de carreira,Essa joice ainda está perturbando essa é fim de carreira só fala abrobrinha vamos ver ela em 2022,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
essa mulher deveria (.*),essa mulher deveria morar em uma ilha completamente isolada,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Crítica,Imprensa
(.*) tem problema mental,"Essa mulher tem problema mental ,só pode .<U+0001F914><U+0001F914><U+0001F914>",Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
estúpida,estúpida,É usado para desqualificar o alvo,Insulto,Imprensa
eu desejo que (.*),Eu desejo que a sua família morra,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
que (.*) morra,Eu desejo que a sua família morra,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
que você  leve (.*)/que você seja (.*),eu desejo que você leve um tiro na cara e que seja estuprada por um menor de 17 anos,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
seja estuprada,eu desejo que você leve um tiro na cara e que seja estuprada por um menor de 17 anos,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
tiro na cara,eu desejo que você leve um tiro na cara e que seja estuprada por um menor de 17 anos,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
picolé de menstruação,eu não chupo picolé de menstruação,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
arrancar (.*),eu quero arrancar-lhe a cabeça com uma motoserra e pendurar o seu corpo imundo em uma mangueira,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
corpo imundo,eu quero arrancar-lhe a cabeça com uma motoserra e pendurar o seu corpo imundo em uma mangueira,Faz referência à aparência do alvo,Insulto,Imprensa
pendurar (.*),eu quero arrancar-lhe a cabeça com uma motoserra e pendurar o seu corpo imundo em uma mangueira,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
quero (.*)/ desejo (.*),eu quero arrancar-lhe a cabeça com uma motoserra e pendurar o seu corpo imundo em uma mangueira,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
eu (.*) quando (.*) pede,eu só bato quando elas pedem,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
banho de sangue,Exijo que a Isa Penna renuncie ou tenha o mandato cassado! Se não vou invadir a Assembleia Legislativa e fazer um massacre,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
exijo que (.*) renuncie,Exijo que a Isa Penna renuncie ou tenha o mandato cassado! Se não vou invadir a Assembleia Legislativa e fazer um massacre,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
exijo que (.*) se não vou (.*),Exijo que a Isa Penna renuncie ou tenha o mandato cassado! Se não vou invadir a Assembleia Legislativa e fazer um massacre,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
falsa,falsa,Insinua que o alvo seria falso,Insulto,Imprensa
banquete para urubus,faremos de você um banquete para os urubus,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
feia,feia,Faz referência à aparência do alvo,Insulto,Imprensa
desqualificada,"Fico pensando quem vota em uma desqualificada dessa, não quer o melhor para o seu país!",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
filha da puta,filha da puta,Xingamento direto contra o alvo,Insulto,Imprensa
filhinha de papai,filhinha de papai,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Imprensa
fraca,fraca,É usado para desqualificar o alvo,Invalidação,Imprensa
fracassada,fracassada,É usado para desqualificar o alvo,Invalidação,Imprensa
fraquejada,fraquejada,É usado para desqualificar o alvo,Invalidação,Imprensa
gorda,gorda,Faz referência à aparência do alvo,Insulto,Imprensa
escrota,gorda escrota,Xingamento direto contra o alvo,Insulto,Imprensa
gorda,gorda escrota,Faz referência à aparência do alvo,Insulto,Imprensa
açoitar,há uma tábua de madeira com uns pregos na ponta e é com isso que eu vou te açoitar,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
é com (.*) que vou te (.*),há uma tábua de madeira com uns pregos na ponta e é com isso que eu vou te açoitar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
hiena,hiena,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
hipócrita,hipócrita,Questiona a moral do alvo,Insulto,Imprensa
hipócritas,hipócritas,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
histérica,histérica,Questiona a sanidade do alvo,Invalidação,Imprensa
horrorosa,horrorosa,Faz referência à aparência do alvo,Insulto,Imprensa
idiota,idiota,É usado para desqualificar o alvo,Invalidação,Imprensa
idiota,idiota,É usado para desqualificar o alvo,Invalidação,Imprensa
idiota,idiota,É usado para desqualificar o alvo,Invalidação,Imprensa
idiota,idiota,É usado para desqualificar o alvo,Invalidação,Imprensa
imbecil,imbecil,É usado para desqualificar o alvo,Invalidação,Imprensa
imbecil,imbecil,É usado para desqualificar o alvo,Invalidação,Imprensa
imoral,imoral,Questiona a moral do alvo,Insulto,Imprensa
incompetente,incompetente,É usado para desqualificar o alvo,Invalidação,Imprensa
fajuta,índia fajuta,É usado para desqualificar o alvo,Invalidação,Imprensa
kidauânus,índios da tribo kidauânus,É usado para sexualizar o alvo,Insulto,Imprensa
janta,janta,É usado para sexualizar o alvo,Insulto,Imprensa
banana,joga banana,É usado como ofensa racista,Discurso de Ódio,Imprensa
banana,joga banana,É usado como ofensa racista,Discurso de Ódio,Imprensa
jumenta,jumenta,É usado para desqualificar o alvo,Invalidação,Imprensa
jumenta,jumenta,É usado para desqualificar o alvo,Invalidação,Imprensa
ladra de (.*),ladra de ideias,Questiona a moral do alvo,Insulto,Imprensa
lixo,lixo,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
lixo,lixo,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
burra,loira burra,É usado para desqualificar o alvo,Invalidação,Imprensa
loira burra,loira burra,É usado para desqualificar o alvo,Invalidação,Imprensa
louca,Louca,Questiona a sanidade do alvo,Invalidação,Imprensa
louca,louca,Questiona a sanidade do alvo,Invalidação,Imprensa
lúcifer,lúcifer,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
macaco,macaco,É usado como ofensa racista,Discurso de Ódio,Imprensa
macumbeira,macumbeira,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
mal amada,mal amada,É usado para desqualificar o alvo,Insulto,Imprensa
maluca,maluca,Questiona a sanidade do alvo,Invalidação,Imprensa
travecos,mártir dos travecos,É usado como ofensa LGBTQfóbica,Insulto,Imprensa
mentirosa,mentirosa,É usado para desqualificar o alvo,Invalidação,Imprensa
merda,merda,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
Micheque,Micheque,Questiona a moral do alvo,Insulto,Imprensa
mimimi,mimimi,É usado para desqualificar o alvo,Invalidação,Imprensa
mimizenta,mimizenta,É usado para desqualificar o alvo,Invalidação,Imprensa
ridícula,muito ridícula,Xingamento direto contra o alvo,Insulto,Imprensa
mulher de (.*),mulher de ladrão,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Imprensa
múmia,múmia,Utiliza a idade para ofender o alvo,Invalidação,Imprensa
não cansa de (.*),não cansa de passar vergonha,Indica que o alvo não deve se manifestar ou tecer opiniões,Crítica,Mapa da Violência Política de Gênero
passar vergonha,não cansa de passar vergonha,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Mapa da Violência Política de Gênero
não é a toa que (.*),não é a toa que está em uma cadeira de rodas,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
vergonha na cara,não tem vergonha na cara,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
vergonha na cara,não tem vergonha na cara,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
neguinho,neguinho,É usado como ofensa racista,Discurso de Ódio,Imprensa
horrorosa,"nenhum homem aguenta um tribufu desses, horrorosa",Faz referência à aparência do alvo,Insulto,Imprensa
nenhum homem aguenta,"nenhum homem aguenta um tribufu desses, horrorosa",Faz referência à aparência do alvo,Insulto,Imprensa
tribufu,"nenhum homem aguenta um tribufu desses, horrorosa",Faz referência à aparência do alvo,Insulto,Imprensa
nojenta,nojenta,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
nojenta,nojenta,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
nunca fez nada como (.*),nunca fez nada como vereadora além de reclamar e se fazer de vítima,É usado para desqualificar o alvo,Crítica,Imprensa
se fazer de vítima,nunca fez nada como vereadora além de reclamar e se fazer de vítima,É usado para desqualificar o alvo,Invalidação,Imprensa
onça,onça,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
oportunista,oportunista,Questiona a moral do alvo,Crítica,Imprensa
oportunista,oportunista traidora,Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
traidora,oportunista traidora,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
parasita,parasita,Questiona a moral do alvo,Insulto,Imprensa
passaremos (.*) no seu (.*)/ passarei (.*) no seu (.*),passaremos o garrote no seu pescoço,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
patética,patética,É usado para desqualificar o alvo,Insulto,Imprensa
patética,patética,É usado para desqualificar o alvo,Insulto,Imprensa
PC,PC,"""Abreviação para o termo “politicamente correto”*"" (Prado, 2023)",Invalidação,"Prado, M. (2023). Tempestade ideológica"
politicamente correto,PC,É usado para desqualificar o alvo,Invalidação,"Prado, M. (2023). Tempestade ideológica"
colocar (.*) para (.*),pegar um cabo de vassoura e colocar vc pra mamar,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
mamar,pegar um cabo de vassoura e colocar vc pra mamar,Faz referência a uma posição sexual,Insulto,Imprensa
pegar um (.*) e te (.*)/pegar um (.*) e colocar você para (.*),pegar um cabo de vassoura e colocar vc pra mamar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
pegaremos você/pegarei você,pegaremos você logo ao amanhecer,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
gostosinha,pelo menos você é gostosinha,Faz referência à aparência do alvo,Insulto,Imprensa
peppa,peppa 2,Faz referência à aparência do alvo,Insulto,Imprensa
peppa,peppa pig,Faz referência à aparência do alvo,Insulto,Imprensa
Peppa,Peppa pig,Faz referência à aparência do alvo,Insulto,Imprensa
(.*) foi só o começo,perder seu emprego foi só o começo,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
gorda,Perdeu 6 latas de banha e continua gorda,Faz referência à aparência do alvo,Insulto,Imprensa
piada,piada essa mulher,É usado para desqualificar o alvo,Invalidação,Imprensa
pilantra,pilantra,Questiona a moral do alvo,Insulto,Imprensa
pimba gira / pomba gira/ pombagira,pimba gira,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
gorduchinha,pimba na gorduchinha,Faz referência à aparência do alvo,Insulto,Imprensa
pimba na (.*),pimba na gorduchinha,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
pode (.*) a vontade,pode chorar a vontade,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Imprensa
pode chorar,pode chorar a vontade,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Imprensa
pode chorar,pode chorar a vontade,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Imprensa
pomba gira,pomba gira,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
porca,porca,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
porcaria,porcaria,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
posso (.*) você,posso deixar vc mais feio,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
poste,poste do Lula,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Imprensa
precisa (.*),precisa transar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Invalidação,Imprensa
prostituta,prostituta,É usado para sexualizar o alvo,Insulto,Imprensa
prostituta,prostituta,É usado para sexualizar o alvo,Insulto,Imprensa
puta,puta,É usado para sexualizar o alvo,Insulto,Imprensa
quando o (.*) já vem pronto/ quando a (.*) já ve pronta,Quando o meme já vem pronto,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
dar carteirada/ dando carteirada/ deu carteirada,"Que ataque ela sofreu pous não vi nenhum? Onde você estava quando a Dra. Nise e a Dra. Maira foram atacadas e humilhadas pelos senadores otto Alencar, Omar Azis e Rogério Carvalho só vale para a Simone Tebet que estava sim descontrolada e dando carteirada que vergonha. https://t.co/POwPRbe8p2",É usado para desqualificar o alvo,Crítica,Mapa da Violência Política de Gênero
descontrolada,"Que ataque ela sofreu pous não vi nenhum? Onde você estava quando a Dra. Nise e a Dra. Maira foram atacadas e humilhadas pelos senadores otto Alencar, Omar Azis e Rogério Carvalho só vale para a Simone Tebet que estava sim descontrolada e dando carteirada que vergonha. https://t.co/POwPRbe8p2",Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
que (.*) ela sofreu,"Que ataque ela sofreu pous não vi nenhum? Onde você estava quando a Dra. Nise e a Dra. Maira foram atacadas e humilhadas pelos senadores otto Alencar, Omar Azis e Rogério Carvalho só vale para a Simone Tebet que estava sim descontrolada e dando carteirada que vergonha. https://t.co/POwPRbe8p2",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
vergonha,"Que ataque ela sofreu pous não vi nenhum? Onde você estava quando a Dra. Nise e a Dra. Maira foram atacadas e humilhadas pelos senadores otto Alencar, Omar Azis e Rogério Carvalho só vale para a Simone Tebet que estava sim descontrolada e dando carteirada que vergonha. https://t.co/POwPRbe8p2",É usado para expressão descontentamento com as atitudes do alvo,Crítica,Mapa da Violência Política de Gênero
vergonha,que vergonha você é para o MT,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
rabanete,rabanetes,"""Imagens de rabanetes (em inglês, radish) são utilizadas para reafirmar a identidade, com orgulho, de ser um radical e, na maioria das vezes, racista. Do latim radix, que significa “raiz”, muitos supremacistas utilizam o “rabanete” para enviarem suas mensagens de forma codificada."" (Prado, 2023)",Discurso de Ódio,"Prado, M. (2023). Tempestade ideológica"
raça imunda,raça imunda,É usado como ofensa racista,Discurso de Ódio,Imprensa
rapariga,Rapariga,É usado para sexualizar o alvo,Insulto,Imprensa
redpilado,redpilado,"""Metáfora retirada do filme Matrix, a red p ill - pílula vermelha - se refere “ao processo de alguém despertar para a verdade de algum aspecto da realidade”. Criada pelo neorreacionário Mencius Moldbug, a metáfora ganhou maior destaque no movimento “Manosphere and Mens Rights”, notavelmente após o lançamento de “r/TheRedPill” em outubro de 2012, um subfórum no site Reddit.com que tem um grau de sobreposição com a alt-right."" (Prado, 2023)",NA,"Prado, M. (2023). Tempestade ideológica"
redpill,redpill,"""Metáfora retirada do filme Matrix, a red p ill - pílula vermelha - se refere “ao processo de alguém despertar para a verdade de algum aspecto da realidade”. Criada pelo neorreacionário Mencius Moldbug, a metáfora ganhou maior destaque no movimento “Manosphere and Mens Rights”, notavelmente após o lançamento de “r/TheRedPill” em outubro de 2012, um subfórum no site Reddit.com que tem um grau de sobreposição com a alt-right."" (Prado, 2023)",NA,"Prado, M. (2023). Tempestade ideológica"
ridícula,ridícula,Xingamento direto contra o alvo,Insulto,Imprensa
ridícula,ridícula,Xingamento direto contra o alvo,Insulto,Imprensa
nojenta,sapatona nojenta,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
sapatona,sapatona nojenta,É usado como ofensa LGBTQfóbica,Insulto,Imprensa
satanás,satanás do inferno,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
satanista,satanista,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
se interna,se interna em uma instituição psiquiátrica,Questiona a sanidade do alvo,Invalidação,Imprensa
se medica,se medica,Questiona a sanidade do alvo,Invalidação,Imprensa
se trata,se trata,Questiona a sanidade do alvo,Invalidação,Imprensa
se você não (.*) vou (.*),se vocês não abandonarem a vida pública vamos matar vocês com uma bomba e explodir suas casas,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
nojo,senhora vc produz nojo,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
acha que ser (.*) é (.*),"ser deputada é mostrar a cor do cabelo, o tom da maquiagem, se a roupa está bonita ou não, distribuir sorrisos e dizer que é uma alegria estar aqui",É usado para desqualificar o alvo,Invalidação,Imprensa
desprezível,Ser desprezível,Manifesta sentimentos de nojo contra o alvo,Insulto,Imprensa
